Asset,Predictor,Interpretation
BTC,BTC_Lagged_Return,"For BTC, a one-standard-deviation increase in Bitcoin lagged return (SD = 0.033258) is associated with an estimated decrease of 0.00396577 in expected daily log return, equivalent to approximately 0.3966 percentage points (39.66 basis points), holding the other regressors constant. The estimated coefficient is -0.119242 with HAC p-value 0.0837."
BTC,Lagged_Log_BTC_Volume,"For BTC, a one-standard-deviation increase in Bitcoin lagged log trading volume (SD = 0.582612) is associated with an estimated decrease of 0.00029850 in expected daily log return, equivalent to approximately 0.0299 percentage points (2.99 basis points), holding the other regressors constant. The estimated coefficient is -0.000512 with HAC p-value 0.6968."
BTC,Lagged_SP500_Return_Aligned,"For BTC, a one-standard-deviation increase in Lagged S&P 500 return (SD = 0.010808) is associated with an estimated increase of 0.00077258 in expected daily log return, equivalent to approximately 0.0773 percentage points (7.73 basis points), holding the other regressors constant. The estimated coefficient is 0.071483 with HAC p-value 0.6255."
BTC,Lagged_VIX_Change_Aligned,"For BTC, a one-standard-deviation increase in Lagged VIX change (SD = 1.844272) is associated with an estimated increase of 0.00015107 in expected daily log return, equivalent to approximately 0.0151 percentage points (1.51 basis points), holding the other regressors constant. The estimated coefficient is 0.000082 with HAC p-value 0.9104."
BTC,Lagged_Gold_Return_Aligned,"For BTC, a one-standard-deviation increase in Lagged gold futures return (SD = 0.010138) is associated with an estimated increase of 0.00080146 in expected daily log return, equivalent to approximately 0.0801 percentage points (8.01 basis points), holding the other regressors constant. The estimated coefficient is 0.079054 with HAC p-value 0.3587."
BTC,Lagged_DXY_Return_Aligned,"For BTC, a one-standard-deviation increase in Lagged US Dollar Index return (SD = 0.004389) is associated with an estimated decrease of 0.00009568 in expected daily log return, equivalent to approximately 0.0096 percentage points (0.96 basis points), holding the other regressors constant. The estimated coefficient is -0.021799 with HAC p-value 0.9175."
BTC,Lagged_US10Y_Change_Aligned,"For BTC, a one-standard-deviation increase in Lagged US 10-year Treasury yield change (SD = 0.063307) is associated with an estimated increase of 0.00008057 in expected daily log return, equivalent to approximately 0.0081 percentage points (0.81 basis points), holding the other regressors constant. The estimated coefficient is 0.001273 with HAC p-value 0.9317."
ETH,ETH_Lagged_Return,"For ETH, a one-standard-deviation increase in Ethereum lagged return (SD = 0.041416) is associated with an estimated decrease of 0.00249813 in expected daily log return, equivalent to approximately 0.2498 percentage points (24.98 basis points), holding the other regressors constant. The estimated coefficient is -0.060319 with HAC p-value 0.2030."
ETH,Lagged_Log_ETH_Volume,"For ETH, a one-standard-deviation increase in Ethereum lagged log trading volume (SD = 0.670543) is associated with an estimated increase of 0.00020969 in expected daily log return, equivalent to approximately 0.0210 percentage points (2.10 basis points), holding the other regressors constant. The estimated coefficient is 0.000313 with HAC p-value 0.8233."
ETH,Lagged_SP500_Return_Aligned,"For ETH, a one-standard-deviation increase in Lagged S&P 500 return (SD = 0.010808) is associated with an estimated increase of 0.00054938 in expected daily log return, equivalent to approximately 0.0549 percentage points (5.49 basis points), holding the other regressors constant. The estimated coefficient is 0.050831 with HAC p-value 0.7727."
ETH,Lagged_VIX_Change_Aligned,"For ETH, a one-standard-deviation increase in Lagged VIX change (SD = 1.844272) is associated with an estimated decrease of 0.00084049 in expected daily log return, equivalent to approximately 0.0840 percentage points (8.40 basis points), holding the other regressors constant. The estimated coefficient is -0.000456 with HAC p-value 0.6431."
ETH,Lagged_Gold_Return_Aligned,"For ETH, a one-standard-deviation increase in Lagged gold futures return (SD = 0.010138) is associated with an estimated increase of 0.00084278 in expected daily log return, equivalent to approximately 0.0843 percentage points (8.43 basis points), holding the other regressors constant. The estimated coefficient is 0.083130 with HAC p-value 0.4721."
ETH,Lagged_DXY_Return_Aligned,"For ETH, a one-standard-deviation increase in Lagged US Dollar Index return (SD = 0.004389) is associated with an estimated increase of 0.00121395 in expected daily log return, equivalent to approximately 0.1214 percentage points (12.14 basis points), holding the other regressors constant. The estimated coefficient is 0.276565 with HAC p-value 0.3846."
ETH,Lagged_US10Y_Change_Aligned,"For ETH, a one-standard-deviation increase in Lagged US 10-year Treasury yield change (SD = 0.063307) is associated with an estimated decrease of 0.00079201 in expected daily log return, equivalent to approximately 0.0792 percentage points (7.92 basis points), holding the other regressors constant. The estimated coefficient is -0.012511 with HAC p-value 0.4618."
